RUN	gatlingexample.GoogleTest	googletest	1561449631106	 	3.1.2
USER	Search 'Gatling demo'	1	START	1561449638760	1561449638760
USER	Search 'Gatling demo'	2	START	1561449638760	1561449638760
REQUEST	2		Getting Google Homepage	1561449638836	1561449639100	OK	 
REQUEST	1		Getting Google Homepage	1561449638836	1561449639114	OK	 
REQUEST	1		request_1	1561449639276	1561449639305	OK	 
REQUEST	2		request_1	1561449639276	1561449639304	OK	 
REQUEST	1		Searching for 'gatling demo'	1561449640342	1561449640451	OK	 
REQUEST	2		Searching for 'gatling demo'	1561449640342	1561449640451	OK	 
REQUEST	1		request_30	1561449641455	1561449641669	OK	 
REQUEST	2		request_30	1561449641455	1561449641684	OK	 
REQUEST	1		request_51	1561449642673	1561449642723	OK	 
USER	Search 'Gatling demo'	1	END	1561449638760	1561449642729
REQUEST	2		request_51	1561449642695	1561449642745	OK	 
USER	Search 'Gatling demo'	2	END	1561449638760	1561449642746
