RUN	gatlingexample.GoogleTest	googletest	1561450926846	 	3.0.0-RC4
USER	Search 'Gatling demo'	1	START	1561450934583	1561450934583
REQUEST	1		Getting Google Homepage	1561450934617	1561450934842	OK	 
REQUEST	1		request_1	1561450934900	1561450934928	OK	 
REQUEST	1		Searching for 'gatling demo'	1561450935962	1561450936066	OK	 
USER	Search 'Gatling demo'	2	START	1561450936583	1561450936583
REQUEST	2		Getting Google Homepage	1561450936584	1561450936753	OK	 
REQUEST	2		request_1	1561450936756	1561450936784	OK	 
REQUEST	1		request_30	1561450937105	1561450937326	OK	 
REQUEST	2		Searching for 'gatling demo'	1561450937805	1561450937874	OK	 
REQUEST	1		request_51	1561450938323	1561450938372	OK	 
USER	Search 'Gatling demo'	1	END	1561450934583	1561450938377
USER	Search 'Gatling demo'	3	START	1561450938562	1561450938562
REQUEST	3		Getting Google Homepage	1561450938563	1561450938724	OK	 
REQUEST	3		request_1	1561450938727	1561450938758	OK	 
REQUEST	2		request_30	1561450938875	1561450939094	OK	 
REQUEST	3		Searching for 'gatling demo'	1561450939773	1561450939851	OK	 
REQUEST	2		request_51	1561450940113	1561450940186	OK	 
USER	Search 'Gatling demo'	2	END	1561450936583	1561450940188
USER	Search 'Gatling demo'	4	START	1561450940573	1561450940573
REQUEST	4		Getting Google Homepage	1561450940573	1561450940735	OK	 
REQUEST	4		request_1	1561450940737	1561450940790	OK	 
REQUEST	3		request_30	1561450940855	1561450941053	OK	 
REQUEST	4		Searching for 'gatling demo'	1561450941806	1561450941880	OK	 
REQUEST	3		request_51	1561450942054	1561450942105	OK	 
USER	Search 'Gatling demo'	3	END	1561450938562	1561450942106
USER	Search 'Gatling demo'	5	START	1561450942583	1561450942583
REQUEST	5		Getting Google Homepage	1561450942584	1561450942751	OK	 
REQUEST	5		request_1	1561450942754	1561450942786	OK	 
REQUEST	4		request_30	1561450942887	1561450943158	OK	 
REQUEST	5		Searching for 'gatling demo'	1561450943801	1561450944007	OK	 
REQUEST	4		request_51	1561450944167	1561450944287	OK	 
USER	Search 'Gatling demo'	4	END	1561450940573	1561450944290
REQUEST	5		request_30	1561450945014	1561450945194	OK	 
REQUEST	5		request_51	1561450946202	1561450946257	OK	 
USER	Search 'Gatling demo'	5	END	1561450942583	1561450946259
